type,unit,ano_inicio,ano_fim,duracao_anos,tmi_inicio,tmi_fim,delta_tmi,delta_pct,classificacao,ano_inicial_serie,ano_final_serie,tmi_inicial_serie,tmi_final_serie,delta_geral_tmi,delta_geral_pct,trajetoria_geral
País LATAM,Cuba,2004,2021,17,5.8,6,0.20000000000000018,3.4482758620689724,Reversão,2000,2023,6.8,6.6,-0.20000000000000018,-2.941176470588236,Queda geral
País LATAM,Cuba,2004,2022,18,5.8,6.3,0.5,8.62068965517242,Reversão,2000,2023,6.8,6.6,-0.20000000000000018,-2.941176470588236,Queda geral
País LATAM,Cuba,2004,2023,19,5.8,6.6,0.7999999999999998,13.793103448275868,Reversão,2000,2023,6.8,6.6,-0.20000000000000018,-2.941176470588236,Queda geral
País LATAM,Cuba,2005,2020,15,5.6,5.7,0.10000000000000053,1.7857142857143016,Reversão,2000,2023,6.8,6.6,-0.20000000000000018,-2.941176470588236,Queda geral
País LATAM,Cuba,2005,2021,16,5.6,6,0.40000000000000036,7.14285714285714,Reversão,2000,2023,6.8,6.6,-0.20000000000000018,-2.941176470588236,Queda geral
País LATAM,Cuba,2005,2022,17,5.6,6.3,0.7000000000000002,12.5,Reversão,2000,2023,6.8,6.6,-0.20000000000000018,-2.941176470588236,Queda geral
País LATAM,Cuba,2005,2023,18,5.6,6.6,1,17.85714285714286,Reversão,2000,2023,6.8,6.6,-0.20000000000000018,-2.941176470588236,Queda geral
País LATAM,Cuba,2006,2019,13,5.4,5.4,0,0,Estagnação,2000,2023,6.8,6.6,-0.20000000000000018,-2.941176470588236,Queda geral
País LATAM,Cuba,2006,2020,14,5.4,5.7,0.2999999999999998,5.555555555555558,Reversão,2000,2023,6.8,6.6,-0.20000000000000018,-2.941176470588236,Queda geral
País LATAM,Cuba,2006,2021,15,5.4,6,0.5999999999999996,11.111111111111093,Reversão,2000,2023,6.8,6.6,-0.20000000000000018,-2.941176470588236,Queda geral
País LATAM,Cuba,2006,2022,16,5.4,6.3,0.8999999999999995,16.66666666666665,Reversão,2000,2023,6.8,6.6,-0.20000000000000018,-2.941176470588236,Queda geral
País LATAM,Cuba,2006,2023,17,5.4,6.6,1.1999999999999993,22.22222222222221,Reversão,2000,2023,6.8,6.6,-0.20000000000000018,-2.941176470588236,Queda geral
País LATAM,Cuba,2007,2018,11,5.2,5.2,0,0,Estagnação,2000,2023,6.8,6.6,-0.20000000000000018,-2.941176470588236,Queda geral
País LATAM,Cuba,2007,2019,12,5.2,5.4,0.20000000000000018,3.8461538461538547,Reversão,2000,2023,6.8,6.6,-0.20000000000000018,-2.941176470588236,Queda geral
País LATAM,Cuba,2007,2020,13,5.2,5.7,0.5,9.615384615384626,Reversão,2000,2023,6.8,6.6,-0.20000000000000018,-2.941176470588236,Queda geral
País LATAM,Cuba,2007,2021,14,5.2,6,0.7999999999999998,15.384615384615374,Reversão,2000,2023,6.8,6.6,-0.20000000000000018,-2.941176470588236,Queda geral
País LATAM,Cuba,2007,2022,15,5.2,6.3,1.0999999999999996,21.153846153846146,Reversão,2000,2023,6.8,6.6,-0.20000000000000018,-2.941176470588236,Queda geral
País LATAM,Cuba,2007,2023,16,5.2,6.6,1.3999999999999995,26.923076923076916,Reversão,2000,2023,6.8,6.6,-0.20000000000000018,-2.941176470588236,Queda geral
País LATAM,Cuba,2008,2009,1,5.1,5,-0.09999999999999964,-1.9607843137254832,Estagnação,2000,2023,6.8,6.6,-0.20000000000000018,-2.941176470588236,Queda geral
País LATAM,Cuba,2008,2017,9,5.1,5,-0.09999999999999964,-1.9607843137254832,Estagnação,2000,2023,6.8,6.6,-0.20000000000000018,-2.941176470588236,Queda geral
País LATAM,Cuba,2008,2018,10,5.1,5.2,0.10000000000000053,1.9607843137255054,Reversão,2000,2023,6.8,6.6,-0.20000000000000018,-2.941176470588236,Queda geral
País LATAM,Cuba,2008,2019,11,5.1,5.4,0.3000000000000007,5.882352941176494,Reversão,2000,2023,6.8,6.6,-0.20000000000000018,-2.941176470588236,Queda geral
País LATAM,Cuba,2008,2020,12,5.1,5.7,0.6000000000000005,11.764705882352944,Reversão,2000,2023,6.8,6.6,-0.20000000000000018,-2.941176470588236,Queda geral
País LATAM,Cuba,2008,2021,13,5.1,6,0.9000000000000004,17.647058823529417,Reversão,2000,2023,6.8,6.6,-0.20000000000000018,-2.941176470588236,Queda geral
País LATAM,Cuba,2008,2022,14,5.1,6.3,1.2000000000000002,23.529411764705888,Reversão,2000,2023,6.8,6.6,-0.20000000000000018,-2.941176470588236,Queda geral
País LATAM,Cuba,2008,2023,15,5.1,6.6,1.5,29.41176470588236,Reversão,2000,2023,6.8,6.6,-0.20000000000000018,-2.941176470588236,Queda geral
País LATAM,Cuba,2009,2010,1,5,4.9,-0.09999999999999964,-1.9999999999999907,Estagnação,2000,2023,6.8,6.6,-0.20000000000000018,-2.941176470588236,Queda geral
País LATAM,Cuba,2009,2016,7,5,4.9,-0.09999999999999964,-1.9999999999999907,Estagnação,2000,2023,6.8,6.6,-0.20000000000000018,-2.941176470588236,Queda geral
País LATAM,Cuba,2009,2017,8,5,5,0,0,Estagnação,2000,2023,6.8,6.6,-0.20000000000000018,-2.941176470588236,Queda geral
País LATAM,Cuba,2009,2018,9,5,5.2,0.20000000000000018,4.0000000000000036,Reversão,2000,2023,6.8,6.6,-0.20000000000000018,-2.941176470588236,Queda geral
País LATAM,Cuba,2009,2019,10,5,5.4,0.40000000000000036,8.000000000000007,Reversão,2000,2023,6.8,6.6,-0.20000000000000018,-2.941176470588236,Queda geral
País LATAM,Cuba,2009,2020,11,5,5.7,0.7000000000000002,14.000000000000012,Reversão,2000,2023,6.8,6.6,-0.20000000000000018,-2.941176470588236,Queda geral
País LATAM,Cuba,2009,2021,12,5,6,1,19.999999999999996,Reversão,2000,2023,6.8,6.6,-0.20000000000000018,-2.941176470588236,Queda geral
País LATAM,Cuba,2009,2022,13,5,6.3,1.2999999999999998,26,Reversão,2000,2023,6.8,6.6,-0.20000000000000018,-2.941176470588236,Queda geral
País LATAM,Cuba,2009,2023,14,5,6.6,1.5999999999999996,31.999999999999986,Reversão,2000,2023,6.8,6.6,-0.20000000000000018,-2.941176470588236,Queda geral
País LATAM,Cuba,2010,2016,6,4.9,4.9,0,0,Estagnação,2000,2023,6.8,6.6,-0.20000000000000018,-2.941176470588236,Queda geral
País LATAM,Cuba,2010,2017,7,4.9,5,0.09999999999999964,2.0408163265306145,Estagnação,2000,2023,6.8,6.6,-0.20000000000000018,-2.941176470588236,Queda geral
País LATAM,Cuba,2010,2018,8,4.9,5.2,0.2999999999999998,6.1224489795918435,Reversão,2000,2023,6.8,6.6,-0.20000000000000018,-2.941176470588236,Queda geral
País LATAM,Cuba,2010,2019,9,4.9,5.4,0.5,10.20408163265305,Reversão,2000,2023,6.8,6.6,-0.20000000000000018,-2.941176470588236,Queda geral
País LATAM,Cuba,2010,2020,10,4.9,5.7,0.7999999999999998,16.326530612244895,Reversão,2000,2023,6.8,6.6,-0.20000000000000018,-2.941176470588236,Queda geral
País LATAM,Cuba,2010,2021,11,4.9,6,1.0999999999999996,22.448979591836714,Reversão,2000,2023,6.8,6.6,-0.20000000000000018,-2.941176470588236,Queda geral
País LATAM,Cuba,2010,2022,12,4.9,6.3,1.3999999999999995,28.57142857142856,Reversão,2000,2023,6.8,6.6,-0.20000000000000018,-2.941176470588236,Queda geral
País LATAM,Cuba,2010,2023,13,4.9,6.6,1.6999999999999993,34.69387755102038,Reversão,2000,2023,6.8,6.6,-0.20000000000000018,-2.941176470588236,Queda geral
País LATAM,Cuba,2011,2012,1,4.8,4.8,0,0,Estagnação,2000,2023,6.8,6.6,-0.20000000000000018,-2.941176470588236,Queda geral
País LATAM,Cuba,2011,2013,2,4.8,4.7,-0.09999999999999964,-2.083333333333326,Estagnação,2000,2023,6.8,6.6,-0.20000000000000018,-2.941176470588236,Queda geral
País LATAM,Cuba,2011,2014,3,4.8,4.8,0,0,Estagnação,2000,2023,6.8,6.6,-0.20000000000000018,-2.941176470588236,Queda geral
País LATAM,Cuba,2011,2015,4,4.8,4.8,0,0,Estagnação,2000,2023,6.8,6.6,-0.20000000000000018,-2.941176470588236,Queda geral
País LATAM,Cuba,2011,2016,5,4.8,4.9,0.10000000000000053,2.083333333333348,Reversão,2000,2023,6.8,6.6,-0.20000000000000018,-2.941176470588236,Queda geral
País LATAM,Cuba,2011,2017,6,4.8,5,0.20000000000000018,4.166666666666674,Reversão,2000,2023,6.8,6.6,-0.20000000000000018,-2.941176470588236,Queda geral
País LATAM,Cuba,2011,2018,7,4.8,5.2,0.40000000000000036,8.333333333333348,Reversão,2000,2023,6.8,6.6,-0.20000000000000018,-2.941176470588236,Queda geral
País LATAM,Cuba,2011,2019,8,4.8,5.4,0.6000000000000005,12.500000000000021,Reversão,2000,2023,6.8,6.6,-0.20000000000000018,-2.941176470588236,Queda geral
País LATAM,Cuba,2011,2020,9,4.8,5.7,0.9000000000000004,18.75,Reversão,2000,2023,6.8,6.6,-0.20000000000000018,-2.941176470588236,Queda geral
País LATAM,Cuba,2011,2021,10,4.8,6,1.2000000000000002,25,Reversão,2000,2023,6.8,6.6,-0.20000000000000018,-2.941176470588236,Queda geral
País LATAM,Cuba,2011,2022,11,4.8,6.3,1.5,31.25,Reversão,2000,2023,6.8,6.6,-0.20000000000000018,-2.941176470588236,Queda geral
País LATAM,Cuba,2011,2023,12,4.8,6.6,1.7999999999999998,37.5,Reversão,2000,2023,6.8,6.6,-0.20000000000000018,-2.941176470588236,Queda geral
País LATAM,Cuba,2012,2013,1,4.8,4.7,-0.09999999999999964,-2.083333333333326,Estagnação,2000,2023,6.8,6.6,-0.20000000000000018,-2.941176470588236,Queda geral
País LATAM,Cuba,2012,2014,2,4.8,4.8,0,0,Estagnação,2000,2023,6.8,6.6,-0.20000000000000018,-2.941176470588236,Queda geral
País LATAM,Cuba,2012,2015,3,4.8,4.8,0,0,Estagnação,2000,2023,6.8,6.6,-0.20000000000000018,-2.941176470588236,Queda geral
País LATAM,Cuba,2012,2016,4,4.8,4.9,0.10000000000000053,2.083333333333348,Reversão,2000,2023,6.8,6.6,-0.20000000000000018,-2.941176470588236,Queda geral
País LATAM,Cuba,2012,2017,5,4.8,5,0.20000000000000018,4.166666666666674,Reversão,2000,2023,6.8,6.6,-0.20000000000000018,-2.941176470588236,Queda geral
País LATAM,Cuba,2012,2018,6,4.8,5.2,0.40000000000000036,8.333333333333348,Reversão,2000,2023,6.8,6.6,-0.20000000000000018,-2.941176470588236,Queda geral
País LATAM,Cuba,2012,2019,7,4.8,5.4,0.6000000000000005,12.500000000000021,Reversão,2000,2023,6.8,6.6,-0.20000000000000018,-2.941176470588236,Queda geral
País LATAM,Cuba,2012,2020,8,4.8,5.7,0.9000000000000004,18.75,Reversão,2000,2023,6.8,6.6,-0.20000000000000018,-2.941176470588236,Queda geral
País LATAM,Cuba,2012,2021,9,4.8,6,1.2000000000000002,25,Reversão,2000,2023,6.8,6.6,-0.20000000000000018,-2.941176470588236,Queda geral
País LATAM,Cuba,2012,2022,10,4.8,6.3,1.5,31.25,Reversão,2000,2023,6.8,6.6,-0.20000000000000018,-2.941176470588236,Queda geral
País LATAM,Cuba,2012,2023,11,4.8,6.6,1.7999999999999998,37.5,Reversão,2000,2023,6.8,6.6,-0.20000000000000018,-2.941176470588236,Queda geral
País LATAM,Cuba,2013,2014,1,4.7,4.8,0.09999999999999964,2.127659574468077,Estagnação,2000,2023,6.8,6.6,-0.20000000000000018,-2.941176470588236,Queda geral
País LATAM,Cuba,2013,2015,2,4.7,4.8,0.09999999999999964,2.127659574468077,Estagnação,2000,2023,6.8,6.6,-0.20000000000000018,-2.941176470588236,Queda geral
País LATAM,Cuba,2013,2016,3,4.7,4.9,0.20000000000000018,4.255319148936176,Reversão,2000,2023,6.8,6.6,-0.20000000000000018,-2.941176470588236,Queda geral
País LATAM,Cuba,2013,2017,4,4.7,5,0.2999999999999998,6.382978723404253,Reversão,2000,2023,6.8,6.6,-0.20000000000000018,-2.941176470588236,Queda geral
